True Prices,Predicted Prices
168.3907012939453,182.25377
170.11444091796875,180.858
172.12718200683594,179.57108
172.60543823242188,178.52495
170.51303100585938,177.70786
172.37628173828125,176.96487
171.99765014648438,176.41942
173.0936737060547,176.00226
175.44517517089844,175.75223
178.02584838867188,175.74963
170.7521514892578,176.04237
171.65887451171875,176.10266
170.23403930664062,176.0861
169.09815979003906,175.93729
172.68515014648438,175.65236
170.86175537109375,175.49536
169.4169921875,175.31569
168.23126220703125,175.05827
169.03834533691406,174.70335
168.21136474609375,174.35178
168.96859741210938,173.97148
167.84268188476562,173.63687
169.0582733154297,173.28423
167.1750946044922,173.00911
174.40892028808594,172.6903
175.91348266601562,172.76456
172.0673828125,173.14793
168.7693328857422,173.49773
167.39430236816406,173.64056
166.43775939941406,173.5767
164.40512084960938,173.33282
165.24208068847656,172.87503
166.29824829101562,172.35445
168.41062927246094,171.8742
169.27749633789062,171.55731
168.6896209716797,171.40349
172.8744659423828,171.32906
169.71591186523438,171.54283
168.6896209716797,171.74527
172.40615844726562,171.8854
182.71884155273438,172.18558
181.0548858642578,173.12831
181.74237060546875,174.31548
182.08116149902344,175.64745
183.90457153320312,177.0224
182.63742065429688,178.45439
185.8601531982422,179.77359
187.00755310058594,181.13445
189.2924041748047,182.5039
189.41212463378906,183.93117
189.4420623779297,185.32104
190.6094207763672,186.61671
191.91647338867188,187.84894
190.46974182128906,189.04425
186.45880126953125,190.06854
189.5518035888672,190.71173
189.56179809570312,191.2617
189.86111450195312,191.70967
190.85885620117188,192.08487
191.8166961669922,192.44757
193.59266662597656,192.83246
193.91195678710938,193.3067
195.42852783203128,193.82497
194.0416564941406,194.42827
196.4462432861328,194.97227
192.68472290039062,195.58923
206.68310546875,196.00201
212.58978271484375,197.05527
213.75714111328125,198.7381
212.01107788085938,200.78554
216.1816558837891,202.86368
213.8070068359375,205.09364
209.20741271972653,207.15565
207.02235412597656,208.7556
207.67086791992188,209.87079
208.5987854003906,210.65895
212.7693634033203,211.24219
213.61746215820315,211.89069
210.1452789306641,212.57545
216.261474609375,213.05087
219.77354431152344,213.72433
221.0506591796875,214.65697
225.82984924316406,215.76407
227.30653381347656,217.18738
228.16458129882812,218.80081
232.45487976074222,220.4944
227.05709838867188,222.38626
230.0203857421875,223.98567
233.87168884277344,225.50456
234.29075622558594,227.0907
228.3641357421875,228.64096
223.67471313476562,229.75464
223.80442810058594,230.2966
223.45523071289062,230.47185
224.50285339355466,230.37956
218.04742431640622,230.17918
216.99981689453125,229.55167
217.46875,228.65668
217.7481231689453,227.6659
218.30685424804685,226.67664
221.5794677734375,225.76888
217.8678436279297,225.1406
219.36445617675784,224.50021
208.79833984375003,223.98889
206.7629241943359,222.9867
209.34710693359375,221.66
212.8292236328125,220.3458
215.7526397705078,219.28766
217.2909393310547,218.59537
221.02682495117188,218.2473
221.4763336181641,218.34198
224.47303771972656,218.72537
225.80157470703125,219.4418
225.64175415039062,220.39624
226.26106262207028,221.44032
226.15118408203125,222.52402
224.28324890136722,223.56781
226.5906982421875,224.42795
226.9303283691406,225.26306
227.7793884277344,226.04543
226.2410888671875,226.79897
229.53746032714847,227.40454
228.7483367919922,228.0754
222.5251770019531,228.69188
220.6072998046875,228.89777
222.13560485839844,228.75322
220.57733154296872,228.48454
220.66722106933594,228.0533
219.86810302734375,227.55264
222.41529846191406,226.9875
222.5251770019531,226.55667
222.25547790527344,226.22717
216.082275390625,225.96492
216.55174255371094,225.41542
220.4474639892578,224.76755
228.61846923828125,224.30415
227.94920349121097,224.41965
226.2211151123047,224.82393
227.1201171875,225.30273
226.1212158203125,225.86453
227.26995849609375,226.39014
227.53965759277344,226.93443
232.74394226074216,227.47134
225.96141052246094,228.2648
226.53077697753906,228.77682
225.4219818115234,229.14883
226.5507507324219,229.34521
221.4463653564453,229.48679
225.52188110351562,229.29362
229.28773498535156,229.14993
228.7882843017578,229.23338
227.29992675781247,229.41156
231.04580688476562,229.56194
233.5930023193359,229.9039
231.5252685546875,230.47366
231.89486694335938,231.0324
234.74172973632815,231.58705
236.22010803222656,232.26682
235.6007995605469,233.05898
230.5063934326172,233.84021
230.31661987304688,234.2929
231.15568542480466,234.52687
233.14349365234375,234.65459
233.41319274902344,234.81313
229.8471221923828,234.98738
225.6617279052734,234.96223
222.66502380371094,234.59525
221.76600646972656,233.88136
223.20442199707028,232.94582
222.47523498535153,232.00038
227.2299957275391,231.04802
226.9600067138672,230.41075
224.2299957275391,229.96866
224.2299957275391,229.52504
225.11999511718747,229.1185
228.22000122070312,228.80627
225.0,228.73955
228.02000427246094,228.6383
228.27999877929685,228.70676
229.0,228.87932
228.52000427246094,229.14955
229.8699951171875,229.43846
232.8699951171875,229.80263
235.05999755859375,230.35681
234.92999267578122,231.11134
237.3300018310547,231.93765
239.5899963378906,232.90225
242.6499938964844,234.01903
243.00999450683594,235.3342
243.03999328613278,236.71251
242.83999633789062,238.05963
246.75,239.30487
